family,description,
acanthuridae,surgeonfish;tang;unicornfish,
accipitridae,kite;hawk;eagle;osprey,
agamidae,toad,
ailuridae,red panda,
alcedinidae,kingfishers,
alcidae,auk,
alligatoridae,alligator;caiman,
anatidae,duck;goose;swan,
anguidae,galliwasp,
anhimidae,screamer,
antilocapridae,pronghorn,
apterygidae,kiwi,
ardeidae,heron,
artamidae,woodswallow,
atelidae,new world monkey,
balistidae,triggerfish,
bathyergidae,mole-rat,
blaberidae,giant cockroaches,
boidae,boa,
bombinatoridae,fire-bellied toad,
bovidae,antelope;cattle;gazelle;goat;sheep,
bucerotidae,hornbill,
bufonidae,frog;toad,
cacatuidae,cockatoo,
callitrichidae,new world monkey,
camelidae,guanaco,
canidae,dog;wolf;fox;jackal;dingo,
carangidae,jack;pompano;jack mackerel;runner;scad,
carcharhinidae,requiem shark,
cardinalidae,grosbeak,
carettochelyidae,turtle,
cariamidae,seriema,
carphodactylidae,gecko,
castoridae,beaver,
cathartidae,new world vulture,
caviidae,cavy,
cebidae,capuchin monkey;squirrel monkey,
cercopithecidae,old world monkey,
cervidae,deer,
chaetodontidae,butterflyfish,
chamaeleonidae,chameleon,
charadriidae,plover;dotterel;lapwing,
chelidae,matamata,
chelydridae,snapping turtle,
cichlasomatinae,cichlid,
ciconiidae,stork,
clupeidae,herring;shad;sardine;hilsa;menhaden,
colubridae,snake,
columbidae,pigeon;dove,
corvidae,crow,
corytophanidae,basilisk,
crocodylidae,crocodile,
cuculidae,cuckoo;roadrunner,
cyprinidae,minnow,
dactyloidae,anole,
dasyatidae,whiptail stingray,
dasypodidae,armadillo,
dasyproctidae,agoutis;acouchis,
dasyuridae,quoll;antechinus;dunnart;tasmanian devil,
daubentoniidae,aye-aye,
dendrobatidae,poison dart frog,
diplodactylidae,geckos,
dipodidae,rodent,
dromaiidae,emu,
elapidae,snake,
elephantidae,elephant,
eleutherodactylidae,coqui frog,
emydidae,pond turtle,
ephippidae,spadefish,
equidae,horse;zebra;donkey,
erethizontidae,new world porcupine,
estrildidae,estrildid finch,
eurypygidae,sunbittern,
falconidae,falcon,
felidae,cat,
gekkonidae,gecko,
geoemydidae,turtle,
ginglymostomatidae,carpet shark,
giraffidae,giraffe;okapi,
gruidae,crane,
helodermatidae,lizard,
herpestidae,mongoose,
hippopotamidae,hippopotamus,
holocentridae,squirrelfish,
hominidae,great ape,
hyaenidae,hyena,
hylidae,tree frog,
hylobatidae,gibbon;lesser ape,
hystricidae,porcupine,
icteridae,icterid,
irenidae,fairy-bluebird,
kinosternidae,mud turtle,
labridae,wrasse,
laridae,Gull,
leiothrichidae,laughingthrush,
lemuridae,lemur,
lorisidae,primate,
macropodidae,kangaroo,
macroscelididae,elephant shrew,
megapodiidae,megapodes,
meliphagidae,honeyeater,
mephitidae,skunk,
mullidae,goatfish,
muraenidae,moray eel,
muridae,rodent,
musophagidae,turaco,
mustelidae,otter;badger;weasel;marten;ferret;stoat;mink;wolverine,
myliobatidae,eagle ray,
nesomyidae,rodent,
numididae,guineafowl,
nymphalidae,brush-footed butterfly,
odontaspididae,sand shark,
orectolobidae,wobbegong,
orycteropodidae,aardvark,
otariidae,eared seal,
otididae,bustard,
ovis,sheep,
papilionidae,swallowtail butterfly,
pelecanidae,pelican,
phasianidae,pheasant;partridge;junglefowl;chicken;quail;peafowl,
phasmatidae,stick insect,
phocidae,earless seal,
phrynosomatidae,lizard,
phylliidae,leaf insect,
phyllostomidae,leaf-nosed bat,
pieridae,pierid butterfly,
pitheciidae,titi;saki monkey;uakari,
pittidae,pitta,
plesiopidae,longfin,
ploceidae,weavers,
pluvianidae,plover,
podargidae,frogmouth,
polychrotidae,chameleon anole,
pomacentridae,damselfish;clownfish,
procyonidae,raccoons;coatis;kinkajous;olinguitos,
psittacidae,parrot;cockatoo,
psittaculidae,parrot,
pteroinae,lionfish,
pteropodidae,megabat,
pythonidae,python,
rallidae,rail,
ramphastidae,barbet;toucan,
ranidae,bull frog,
rhacophoridae,shrub frog,
rheidae,flightless ratite birds,
rhinocerotidae,rhinoceros,
rousettus,old world fruit bat,
sagittariidae,secretary bird,
salamandridae,true salamander;newt,
scaphiopodidae,spadefoot toads,
scincidae,skink,
sciuridae,squirrel,
scopidae,stork,
scorpionidae,burrowing scorpion,
serranidae,sea bass;grouper,
siganidae,rabbitfish,
spheniscidae,penguin,
stegostomatidae,zebra shark,
strigidae,true owl,
struthionidae,ostrich,
sturnidae,starling,
suidae,pig;hog;boar,
syngnathidae,seahorse;pipefishe;seadragon,
tapiridae,tapir,
tayassuidae,peccary,
teiidae,whiptail;tegu,
testudinidae,tortoise,
tetraodontidae,puffer fish,
theraphosidae,tarantula,
threskiornithidae,ibis;spoonbill,
tupaiidae,treeshrew,
tyrannidae,tyrant flycatcher,
tytonidae,barn-owl,
ulmaridae,jellyfish,
varanidae,lizard,
viperidae,viper,
zosteropidae,white-eye,
